id,quarter,year
1,1,2020
2,1,2020
3,1,2020
4,1,2020
5,1,2020
6,1,2020
7,1,2020
8,1,2020
9,1,2020
10,1,2020
11,1,2020
12,1,2020
13,1,2020
14,1,2020
15,1,2020
16,1,2020
17,1,2020
18,1,2020
19,1,2020
20,1,2020
21,1,2020
22,1,2020
23,1,2020
24,1,2020
25,1,2020
26,1,2020
27,1,2020
28,1,2020
29,1,2020
30,1,2020
31,1,2020
32,1,2020
33,1,2020
34,1,2020
35,1,2020
36,1,2020
37,1,2020
38,1,2020
39,1,2020
40,1,2020
41,1,2020
42,1,2020
43,1,2020
44,1,2020
45,1,2020
46,1,2020
47,1,2020
48,1,2020
49,1,2020
50,1,2020
51,1,2020
52,1,2020
53,1,2020
54,1,2020
55,1,2020
56,1,2020
57,1,2020
58,1,2020
59,1,2020
60,1,2020
61,1,2020
62,1,2020
63,1,2020
64,1,2020
65,1,2020
66,1,2020
67,1,2020
68,1,2020
69,1,2020
70,1,2020
71,1,2020
72,1,2020
73,1,2020
74,1,2020
75,1,2020
76,1,2020
77,1,2020
78,1,2020
79,1,2020
80,1,2020
81,1,2020
82,1,2020
83,1,2020
84,1,2020
85,1,2020
86,1,2020
87,1,2020
88,1,2020
89,1,2020
90,1,2020
91,1,2020
92,1,2020
93,1,2020
94,1,2020
95,1,2020
96,1,2020
97,1,2020
98,1,2020
99,1,2020
100,1,2020
101,1,2020
102,1,2020
103,1,2020
104,1,2020
105,1,2020
106,1,2020
107,1,2020
108,1,2020
109,1,2020
110,1,2020
111,1,2020
112,1,2020
113,1,2020
114,1,2020
115,1,2020
116,1,2020
117,1,2020
118,1,2020
119,1,2020
120,1,2020
121,1,2020
122,1,2020
123,1,2020
124,1,2020
125,1,2020
126,1,2020
127,1,2020
128,1,2020
129,1,2020
130,1,2020
131,1,2020
132,1,2020
133,1,2020
134,1,2020
135,1,2020
136,1,2020
137,1,2020
138,1,2020
139,1,2020
140,1,2020
141,1,2020
142,1,2020
143,1,2020
144,1,2020
145,1,2020
146,1,2020
147,1,2020
148,1,2020
149,1,2020
150,1,2020
151,1,2020
152,1,2020
153,1,2020
154,1,2020
155,1,2020
156,1,2020
157,1,2020
158,1,2020
159,1,2020
160,1,2020
161,1,2020
162,1,2020
163,1,2020
164,1,2020
165,1,2020
166,1,2020
167,1,2020
168,1,2020
169,1,2020
170,1,2020
171,1,2020
172,1,2020
173,1,2020
174,1,2020
175,1,2020
176,1,2020
177,1,2020
178,1,2020
179,1,2020
180,1,2020
181,1,2020
182,1,2020
183,1,2020
184,1,2020
185,1,2020
186,1,2020
187,1,2020
188,1,2020
189,1,2020
190,1,2020
191,1,2020
192,1,2020
193,1,2020
194,1,2020
195,1,2020
196,1,2020
197,1,2020
198,1,2020
199,1,2020
200,1,2020
201,1,2020
202,1,2020
203,1,2020
204,1,2020
205,1,2020
206,1,2020
207,1,2020
208,1,2020
209,1,2020
210,1,2020
211,1,2020
212,1,2020
213,1,2020
214,1,2020
215,1,2020
216,1,2020
217,1,2020
218,1,2020
219,1,2020
220,1,2020
221,1,2020
222,1,2020
223,1,2020
224,1,2020
225,1,2020
226,1,2020
227,1,2020
228,1,2020
229,1,2020
230,1,2020
231,1,2020
232,1,2020
233,1,2020
234,1,2020
235,1,2020
236,1,2020
237,1,2020
238,1,2020
239,1,2020
240,1,2020
241,1,2020
242,1,2020
243,1,2020
244,1,2020
245,1,2020
246,1,2020
247,1,2020
248,1,2020
249,1,2020
250,1,2020
251,1,2020
252,1,2020
253,1,2020
254,1,2020
255,1,2020
256,1,2020
257,1,2020
258,1,2020
259,1,2020
260,1,2020
261,1,2020
262,1,2020
263,1,2020
264,1,2020
265,1,2020
266,1,2020
267,1,2020
268,1,2020
269,1,2020
270,1,2020
271,1,2020
272,1,2020
273,1,2020
274,1,2020
275,1,2020
276,1,2020
277,1,2020
278,1,2020
279,1,2020
280,1,2020
281,1,2020
282,1,2020
283,1,2020
284,1,2020
285,1,2020
286,1,2020
287,1,2020
288,1,2020
289,1,2020
290,1,2020
291,1,2020
292,1,2020
293,1,2020
294,1,2020
295,1,2020
296,1,2020
297,1,2020
298,1,2020
299,1,2020
300,1,2020
301,1,2020
302,1,2020
303,1,2020
304,1,2020
305,1,2020
306,1,2020
307,1,2020
308,1,2020
309,1,2020
310,1,2020
311,1,2020
312,1,2020
313,1,2020
314,1,2020
315,1,2020
316,1,2020
317,1,2020
318,1,2020
319,1,2020
320,1,2020
321,1,2020
322,1,2020
323,1,2020
324,1,2020
325,1,2020
326,1,2020
327,1,2020
328,1,2020
329,1,2020
330,1,2020
331,1,2020
332,1,2020
333,1,2020
334,1,2020
335,1,2020
336,1,2020
337,1,2020
338,1,2020
339,1,2020
