"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2014","3","",117243,1856219,1866000,1871498,19765606878,1545673328,36013352,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1228,1.1,20279,1.1,21980,1.2,24078,1.3,733360551,3.9,89509869,6.1,-4675632,-11.5,20,2.5
"01000","1","10","51","0","2014","3","",1187,53397,53420,53455,1031558907,0,0,1485,"",1.56,1.43,1.43,1.44,1.61,0.00,0.00,1.12,"",-6,-0.5,-1034,-1.9,-846,-1.6,-784,-1.4,76010805,8.0,0,0.0,0,0.0,132,9.8
"01000","2","10","51","0","2014","3","",1416,91957,92755,94111,1163169117,1658,55,963,"",1.67,1.51,1.52,1.51,1.61,0.00,0.00,1.07,"",89,6.7,-143,-0.2,466,0.5,565,0.6,30833378,2.7,-1269,-43.4,23,71.9,23,2.4
"01000","3","10","51","0","2014","3","",3726,203651,204896,210918,2030689646,9712508,157724,756,"",1.80,1.25,1.20,1.12,1.20,0.37,0.73,1.01,"",-59,-1.6,1738,0.9,2192,1.1,2764,1.3,63845780,3.2,67359,0.7,-32195,-17.0,15,2.0
"01000","5","10","51","0","2014","3","",110914,1507214,1514929,1513014,15540189208,1535959162,35855573,791,"",0.98,0.95,0.95,0.96,0.93,1.02,1.00,0.98,"",1204,1.1,19718,1.3,20168,1.3,21533,1.4,562670588,3.8,89443779,6.2,-4643460,-11.5,18,2.3
"01000","8","10","96","0","2014","3","",6329,349005,351071,358484,4225417670,9714166,157779,921,"",1.72,1.34,1.31,1.25,1.38,0.23,0.60,1.07,"",24,0.4,561,0.2,1812,0.5,2545,0.7,170689963,4.2,66090,0.7,-32172,-16.9,33,3.7
"01001","0","10","70","0","2014","3","",819,10226,10438,10443,85427523,8079044,162251,634,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.8,76,0.7,144,1.4,197,1.9,2327936,2.8,319524,4.1,-30853,-16.0,9,1.4
"01001","1","10","71","0","2014","3","",12,82,84,80,1098598,0,0,1031,"",2.25,0.40,0.40,0.39,0.40,0.00,0.00,1.00,"",0,0.0,9,12.3,5,6.3,-8,-9.1,45179,4.3,0,0.0,0,0.0,18,1.8
"01001","2","10","71","0","2014","3","",18,480,489,484,4832731,0,0,768,"",3.03,1.43,1.43,1.39,1.55,0.00,0.00,1.09,"",1,5.9,41,9.3,48,10.9,49,11.3,550396,12.9,0,0.0,0,0.0,16,2.1
"01001","3","10","71","0","2014","3","",32,1808,1821,1922,16127568,900,8,670,"",2.22,2.01,1.91,1.83,2.20,0.01,0.01,1.15,"",0,0.0,36,2.0,-4,-0.2,23,1.2,319623,2.0,-11651,-92.8,-129,-94.2,6,0.9
