"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2016","3","",122463,1911347,1917193,1924805,21699725501,1657522158,27167375,870,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3088,2.6,23935,1.3,24613,1.3,28726,1.5,1305638350,6.4,62037807,3.9,-6570108,-19.5,41,4.9
"01000","1","10","51","0","2016","3","",1190,53489,53646,53673,1128698567,0,0,1620,"",1.57,1.41,1.41,1.42,1.68,0.00,0.00,1.19,"",6,0.5,352,0.7,702,1.3,757,1.4,86740833,8.3,0,0.0,0,0.0,108,7.1
"01000","2","10","51","0","2016","3","",1382,93206,94082,95672,1224907291,105,1,999,"",1.59,1.53,1.55,1.54,1.59,0.00,0.00,1.03,"",26,1.9,844,0.9,635,0.7,1369,1.5,48963886,4.2,-677,-86.6,-6,-85.7,30,3.1
"01000","3","10","51","0","2016","3","",3728,205236,207365,211560,2168028875,11239772,123798,802,"",1.75,1.25,1.21,1.11,1.19,0.41,0.77,1.01,"",21,0.6,1293,0.6,1978,1.0,1832,0.9,101000004,4.9,639433,6.0,-32284,-20.7,31,4.0
"01000","5","10","51","0","2016","3","",116163,1559416,1562100,1563900,17178090768,1646282281,27043576,846,"",0.98,0.95,0.95,0.96,0.93,1.02,1.00,0.98,"",3035,2.7,21446,1.4,21298,1.4,24768,1.6,1068933627,6.6,61399051,3.9,-6537818,-19.5,41,5.1
"01000","8","10","96","0","2016","3","",6300,351931,355093,360905,4521634733,11239877,123799,977,"",1.68,1.34,1.31,1.24,1.39,0.26,0.64,1.07,"",53,0.8,2489,0.7,3315,0.9,3958,1.1,236704723,5.5,638756,6.0,-32290,-20.7,43,4.6
"01001","0","10","70","0","2016","3","",855,10555,10652,10727,100219396,9689270,128932,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,36,0.3,3,0.0,19,0.2,10117139,11.2,1068003,12.4,-31117,-19.4,72,11.0
"01001","1","10","71","0","2016","3","",12,78,79,82,1106428,0,0,1068,"",2.27,0.37,0.37,0.39,0.36,0.00,0.00,0.94,"",1,9.1,4,5.4,1,1.3,10,13.9,36974,3.5,0,0.0,0,0.0,-34,-3.1
"01001","2","10","71","0","2016","3","",19,540,540,546,6218655,0,0,883,"",3.13,1.60,1.60,1.58,1.75,0.00,0.00,1.10,"",1,5.6,28,5.5,30,5.9,34,6.6,1085454,21.1,0,0.0,0,0.0,111,14.4
"01001","3","10","71","0","2016","3","",32,1822,1914,1897,17326241,900,5,710,"",2.15,2.01,2.00,1.79,2.06,0.01,0.01,1.07,"",0,0.0,32,1.8,21,1.1,-1,-0.1,995766,6.1,0,0.0,-3,-37.5,35,5.2
"01001","5","10","71","0","2016","3","",792,8115,8119,8202,75568072,9688370,128927,714,"",0.96,0.89,0.89,0.90,0.89,1.03,1.01,0.99,"",6,0.8,-28,-0.3,-49,-0.6,-24,-0.3,7998945,11.8,1068003,12.4,-31114,-19.4,79,12.4
"01003","0","10","70","0","2016","3","",5832,72878,71792,70469,632559098,83471353,1258314,679,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",209,3.7,2471,3.5,2571,3.7,2379,3.5,48831487,8.4,4398548,5.6,-274455,-17.9,30,4.6
"01003","1","10","71","0","2016","3","",32,346,337,337,5240249,0,0,1186,"",0.89,0.24,0.24,0.24,0.27,0.00,0.00,1.11,"",0,0.0,12,3.6,11,3.4,-1,-0.3,195107,3.9,0,0.0,0,0.0,19,1.6
"01003","2","10","71","0","2016","3","",38,1115,1141,1209,10932617,0,0,728,"",0.92,0.48,0.50,0.53,0.49,0.00,0.00,0.97,"",4,11.8,-32,-2.8,36,3.3,16,1.3,360821,3.4,0,0.0,0,0.0,20,2.8
"01003","3","10","71","0","2016","3","",85,7202,7301,7420,77659420,359858,2195,817,"",0.84,1.15,1.13,1.07,1.46,0.26,0.29,1.31,"",2,2.4,114,1.6,106,1.5,8,0.1,3630983,4.9,54997,18.0,-566,-20.5,30,3.8
"01003","5","10","71","0","2016","3","",5677,64215,63013,61503,538726812,83111495,1256119,659,"",1.00,1.02,1.02,1.03,1.00,1.02,1.01,0.98,"",203,3.7,2377,3.8,2418,4.0,2356,4.0,44644576,9.0,4343551,5.5,-273889,-17.9,31,4.9
"01005","0","10","70","0","2016","3","",550,7839,7876,7836,71844190,5992002,100233,704,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-2.3,-387,-4.7,-363,-4.4,-381,-4.6,2001057,2.9,-180073,-2.9,-41629,-29.3,51,7.8
"01005","1","10","71","0","2016","3","",8,56,57,57,793691,0,0,1077,"",2.35,0.36,0.37,0.37,0.36,0.00,0.00,0.98,"",-1,-11.1,2,3.7,2,3.6,5,9.6,71623,9.9,0,0.0,0,0.0,42,4.1
"01005","2","10","71","0","2016","3","",19,607,597,595,6097546,0,0,782,"",4.87,2.43,2.39,2.35,2.39,0.00,0.00,1.00,"",0,0.0,-40,-6.2,-38,-6.0,-32,-5.1,-414999,-6.4,0,0.0,0,0.0,-5,-0.6
"01005","3","10","71","0","2016","3","",32,928,963,927,8098143,70847,1326,663,"",3.35,1.38,1.36,1.20,1.34,0.72,2.22,1.03,"",-2,-5.9,-29,-3.0,-16,-1.6,-16,-1.7,462975,6.1,3552,5.3,90,7.3,51,8.3
"01005","5","10","71","0","2016","3","",491,6248,6259,6257,56854810,5921155,98907,699,"",0.92,0.92,0.93,0.94,0.93,1.01,0.99,1.00,"",-10,-2.0,-320,-4.9,-311,-4.7,-338,-5.1,1881458,3.4,-183625,-3.0,-41719,-29.7,56,8.7
"01007","0","10","70","0","2016","3","",337,4190,4096,4111,41229789,3070075,56386,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,217,5.5,92,2.3,50,1.2,3967840,10.6,530122,20.9,3292,6.2,53,7.4
"01007","1","10","71","0","2016","3","",9,73,73,71,1220368,0,0,1298,"",4.32,0.88,0.90,0.88,0.95,0.00,0.00,1.08,"",-1,-10.0,-5,-6.4,0,0.0,-4,-5.3,-108040,-8.1,0,0.0,0,0.0,-58,-4.3
"01007","2","10","71","0","2016","3","",13,226,226,221,2689989,0,0,922,"",5.44,1.69,1.74,1.66,1.84,0.00,0.00,1.08,"",2,18.2,-11,-4.6,-19,-7.8,-18,-7.5,102380,4.0,0,0.0,0,0.0,94,11.4
