id,%chg_lq_estabishments,%chg_total_emp,%chge_lq_total_qtrly_wages,%chge_lq_taxable_wages,%chge_avg_wkly_wage
1,9.2,1.136,1.19,0.452,1.024
2,4.58,0.78,0.856,0.624,1.094
3,12.67,1.164,1.216,0.626,1.052
4,16.92,1.237333333,1.264,0.68,1.036
5,9.58,1.042666667,1.124,0.796,1.034
6,20.42,1.252666667,1.4,0.402,1.096
7,10.64,0.787333333,0.828,0.474,1.048
8,8.3,1.87,2.158,0.494,1.106
9,12.5,0.946,1.028,0.57,1.012
10,13.01,1.045333333,1.18,0.74,1.08
11,8.47,0.96,1.004,0.996,1.008
12,15.36,0.815333333,0.682,0.606,0.778
13,12.07,1.063333333,1.07,0.936,1.002
14,18.03,0.970666667,0.998,0.808,1.002
15,22.28,1.508,1.43,1.92,0.948
16,9.94,0.982666667,1.132,0.8,1.15
17,7.97,1.092666667,1.348,0.612,1.182
18,17.09,1.108666667,1.18,0.506,1.018
19,25.94,1.108666667,1.068,0.598,0.95
20,10.42,0.953333333,1.018,0.472,1.076
21,17.99,0.898,0.92,0.624,1.008
22,6.72,0.868666667,0.9,0.576,1.036
23,15.08,2.396666667,2.206,0.556,0.894
24,13.24,1.128666667,1.152,0.53,1.018
25,9.58,0.874,0.92,0.918,1.042
26,8.47,1.123333333,1.284,1.704,1.098
27,9.83,1.194666667,1.32,4.314,1.026
28,8.19,0.872,0.904,0.71,1.052
29,13.25,1.297333333,1.34,0.596,1.006
30,11.24,0.954,1.04,0.732,1.08
31,13.23,1.108,1.206,3.06,1.048
32,26.05,1.206666667,1.296,2.346,1.012
33,18.61,1.302666667,1.328,2.468,1.01
34,13.19,0.981333333,0.954,0.904,0.948
35,6.22,0.883333333,0.966,0.638,1.064
36,11.4,0.924666667,1.034,0.932,1.132
37,4.82,1.229333333,1.192,0.452,0.978
38,18.07,0.906666667,0.864,0.498,0.922
39,6.22,1.000666667,1.182,0.49,1.172
40,13.31,1.2,1.352,0.644,1.128
41,6.03,1.453333333,1.998,0.478,1.196
42,6.08,1.683333333,2.436,0.438,1.222
43,22.11,1.092666667,1.024,0.652,0.93
44,24.79,3.835333333,4.476,1.516,1.046
45,5.15,1.605333333,1.794,0.484,1.014
46,14.2,0.970666667,0.942,0.692,0.944
47,12.41,0.96,1.034,0.65,1.046
48,8.37,0.849333333,0.952,0.808,1.096
49,5.45,0.972,1.054,0.51,1.082
50,14.7,0.978666667,0.918,0.892,0.932
51,10.44,1.985333333,2.182,0.554,1.07
52,6.36,0.786,0.792,0.542,0.982
53,19.11,1.063333333,1.142,0.532,1.048
54,15.3,1.830666667,2.122,1.426,1.06
55,8.64,0.450666667,0.444,0.402,0.59
56,12.32,1.082666667,1.19,0.666,1.07
57,8.39,0.982666667,1.06,0.452,1.066
58,7.71,0.837333333,0.9,0.478,1.06
59,4.44,0.718666667,0.664,0.51,0.874
60,21.08,1.938,2.326,1.846,1.046
61,9.53,1.057333333,1.034,0.478,1.004
62,9.25,0.904666667,1,0.546,1.11
63,5.25,1.406666667,1.622,0.492,1.09
64,9.18,0.950666667,0.992,0.81,1.042
65,21.26,1.036,0.764,0.642,0.732
66,23.8,1.256,1.144,0.53,0.934
67,11.97,0.803333333,0.812,0.542,1.02
68,2.64,0.566,0.536,0.402,0.56
69,42.76,0.697333333,0.64,1.158,0.89
70,25.89,0.699333333,0.702,1.888,1.012
71,5.3,0.992666667,1.012,0.402,0.602
72,47.56,1.470666667,1.548,2.21,1.102
73,23.33,1.757333333,1.948,1.05,1.11
74,18.91,1.394666667,1.288,1.816,0.928
75,33.74,1.902,1.934,1.624,0.998
76,21,2.662,2.244,0.612,0.952
77,43.44,1.440666667,1.48,1.56,1.084
78,9.33,2.103333333,2.244,0.508,1.044
79,17.61,1.218666667,1.604,3.9,1.334
80,35.77,2.633333333,3.284,7.894,1.152
81,10.05,2.394666667,2.772,1.104,1.124
82,10.81,1.324666667,1.5,1.258,1.102
83,10.72,1.584,1.862,1.632,1.13
84,17.49,1.530666667,1.656,2.734,1.078
85,62.44,1.774,1.974,6.316,1.2
86,45.09,0.668666667,0.74,0.31,0.668
87,7.16,1.165333333,1.334,0.722,1.142
88,43.29,1.542,1.634,3.198,1.086
89,27.62,0.724666667,0.61,1.684,0.744
90,54.25,1.260666667,1.066,1.734,0.916
91,17.4,1.833333333,2.444,0.778,1.182
92,29.93,1.725333333,2.03,7.404,1.19
93,15.08,1.441333333,1.686,1.318,1.154
94,16.18,1.368,1.74,0.336,0.634
95,32.61,2.384666667,2.174,0.886,0.898
96,26.8,1.455333333,1.782,1.794,1.204
97,45.7,1.254,1.458,0.362,0.64
98,62.44,2.071333333,2.214,7.166,1.178
99,19.62,2.130833333,1.7575,0.5025,0.89
100,26.12,2.751333333,2.892,3.368,1.036
101,11.43,2.226,2.66,0.682,1.046
102,7.46,1.53,1.836,1.38,1.15
103,12.04,1.338,1.424,4.084,1.066
104,14.94,1.481333333,1.634,0.556,1.08
105,28.3,0.685333333,0.564,0.572,0.744
106,17.46,1.636666667,1.98,5.878,1.138
107,2.75,0.784,0.802,0.474,1.026
108,4.9,0.838666667,0.932,1.288,1.132
109,11.12,1.793333333,2.124,2.43,1.158
110,3.56,1.263333333,1.438,0.784,1.106
111,6.75,1.333333333,1.622,1.268,1.194
112,7.52,1.989333333,2.834,1.46,1.096
113,4.82,0.972666667,1.148,1.25,1.166
114,7.46,1.262666667,1.536,1.056,1.156
115,2.75,0.704,0.614,0.414,0.74
116,8.88,0.828,0.844,0.73,1.01
117,11.99,0.906,0.85,1.664,0.944
118,7.8,0.798,0.846,1.264,1.084
119,3.84,0.651333333,0.564,0.47,0.746
120,11.1,1.133333333,1.186,0.96,1.058
121,11.88,1.288,1.246,0.828,0.972
122,25.62,0.45,0.44,0.398,0.514
123,8.15,0.746666667,0.822,1.054,1.172
