id,establishments,%chg_lq_estabishments
1,1778,9.2
2,13072,4.58
3,1128,12.67
4,730,16.92
5,1568,9.58
6,360,20.42
7,962,10.64
8,5042,8.3
9,1246,12.5
10,830,13.01
11,1650,8.47
12,650,15.36
13,1318,12.07
14,436,18.03
15,460,22.28
16,2106,9.94
17,2704,7.97
18,504,17.09
19,272,25.94
20,1812,10.42
21,540,17.99
22,3692,6.72
23,1754,15.08
24,1702,13.24
25,2444,9.58
26,2830,8.47
27,1644,9.83
28,4148,8.19
29,684,13.25
30,1188,11.24
31,1006,13.23
32,322,26.05
33,576,18.61
34,698,13.19
35,6028,6.22
36,2010,11.4
37,38238,4.82
38,548,18.07
39,4218,6.22
40,952,13.31
41,6642,6.03
42,2970,6.08
43,350,22.11
44,492,24.79
45,19992,5.15
46,1020,14.2
47,1234,12.41
48,4194,8.37
49,20578,5.45
50,902,14.7
51,12794,10.44
52,5634,6.36
53,314,19.11
54,666,15.3
55,1444,8.64
56,810,12.32
57,1878,8.39
58,3098,7.71
59,11698,4.44
60,502,21.08
61,2822,9.53
62,1728,9.25
63,9220,5.25
64,2758,9.18
65,538,21.26
66,482,23.8
67,966,11.97
68,29474,2.64
69,198,42.76
70,334,25.89
71,16346,5.3
72,700,47.56
73,260,23.33
74,820,18.91
75,286,33.74
76,290,21
77,316,43.44
78,4498,9.33
79,314,17.61
80,268,35.77
81,2232,10.05
82,4196,10.81
83,1188,10.72
84,948,17.49
85,276,62.44
86,240,45.09
87,4574,7.16
88,604,43.29
89,480,27.62
90,320,54.25
91,320,17.4
92,482,29.93
93,716,15.08
94,248,16.18
95,480,32.61
96,182,26.8
97,88,45.7
98,524,62.44
99,1614,19.62
100,1230,26.12
101,4546,11.43
102,6850,7.46
103,1932,12.04
104,1112,14.94
105,182,28.3
106,714,17.46
107,213602,2.75
108,7794,4.9
109,3304,11.12
110,37916,3.56
111,6602,6.75
112,2294,7.52
113,11690,4.82
114,6572,7.46
115,26362,2.75
116,1988,8.88
117,1150,11.99
118,2470,7.8
119,13886,3.84
120,1916,11.1
121,706,11.88
122,214,25.62
123,1580,8.15
124,1002,9.71
125,1330,10.75
126,722,15.52
127,1298,9.63
128,268,20.67
129,1402,8.51
130,1062,12.75
131,5760,5.45
132,2554,6.98
133,2380,7.76
134,978,10.24
135,468,15.73
136,1028,10.63
137,1100,10.75
138,5886,4.86
139,764,15.81
140,430,20.87
141,6146,5.28
142,708,9.94
143,1776,7.65
144,1064,13.69
145,1244,10.39
146,728,13.93
147,1864,10.57
148,512,19.63
149,882,14.92
150,4062,8.52
151,992,10.83
152,332,22.59
153,824,14.82
154,538,15.5
155,570,13.36
156,524,17.96
157,988,13.35
158,2666,6.66
159,530,16.81
160,576,15.15
161,1790,9.04
162,2178,10.41
163,546,15.91
164,346,22.72
165,418,23.85
166,258,34.69
167,1326,9.97
168,314,19.49
169,1476,11.78
170,546,15.21
171,972,13.23
172,992,12.5
173,3702,6.52
174,526,17
175,28966,5.8
176,800,13.05
177,1372,11.87
178,4270,4.62
179,398,15.85
180,354,21.77
181,7440,5.39
182,644,13.82
183,786,13.84
184,568,16.03
185,2524,8.07
186,676,11.05
187,12678,4.1
188,3654,7.13
189,406,17.39
190,868,15.93
191,23786,2.79
192,131582,3.6
193,164,16.97
194,2340,13.43
195,16822,8.49
196,2714,9.35
197,1770,7.84
198,67906,3.15
199,1642,16.05
200,11330,4.64
201,76358,5.62
202,2470,7.19
203,12044,11.27
204,16288,5.85
205,1532,17.32
206,43164,6.98
207,8898,9.3
208,6404,5
209,1466,31.37
210,1023670,3.17
211,9180,7.7
212,24956,3.95
213,1124,12.5
214,8496,6.13
215,13820,4.68
216,766,21.39
217,1344,10.98
218,28488,6.24
219,11692,8.28
220,7578,5.23
221,254228,3.1
222,27746,3.84
223,1870,10.26
224,140500,3.67
225,124854,14.2
226,3296,5.05
227,128056,4.44
228,232244,3.74
229,122378,4.22
230,37432,5.7
231,21188,7.94
232,57628,3.09
233,31434,4.16
234,149604,3.6
235,19294,3.84
236,14916,7.4
237,260,24.11
238,3540,11.9
239,23682,6.79
240,40392,4.2
241,32720,4.2
242,6962,4.33
243,4068,7.12
244,932,13.26
245,23130,5.22
246,3374,10.85
247,55610,3.85
248,14312,8.21
249,3368,9.66
250,94504,2.54
251,23950,3.2
252,1230,11.88
253,46546,2.77
254,1222,6.11
255,232,28.33
256,198,28.76
257,32718,2.74
258,5980,2.83
259,2154,5.83
260,190,25.03
261,748,8.49
262,376,18.64
263,222,28.18
264,134,27.37
265,336,11.48
266,1890,8.15
267,71408,2.88
268,168,22.49
269,26216,2.6
270,7196,3.44
271,1454,7.11
272,42738,3.58
273,1946,8.76
274,5530,4.54
275,374,12.11
276,1840,7.44
277,2460,5.8
278,164,14.4
279,374,14.91
280,186,25.13
281,42948,2.98
282,98,35.9
283,604,15.23
284,500,12.08
285,5490,5.27
286,26136,3.17
287,1220,10.67
288,338,22.74
289,1296,10.04
290,10342,4.65
291,152,16.81
292,910,11.47
293,1938,8.81
294,2966,6.96
295,1698,8.76
296,1020,14.12
297,684,7.94
298,1172,8.67
299,352,14.47
300,3786,3.26
301,792,12.57
302,7272,4.93
303,522,13.63
304,908,10.5
305,3772,4.87
306,408,17.04
307,162,14.82
308,1438,5.85
309,178,26.21
310,4802,3.49
311,1932,5.54
312,302,19.43
313,16232,3.98
314,844,11.34
315,6786,5.24
316,74024,3.39
317,58986,4.69
318,12386,6.55
319,11156,5.98
320,50848,4.27
321,15662,6.93
322,6698,6.72
323,6126,8.48
324,11972,3.15
325,8986,6.78
326,43306,3.22
327,15418,3.65
328,2370,6.54
