id,total_wages,taxable_wage,average_weekly_wage,%chge_lq_total_qtrly_wages,%chge_lq_taxable_wages,%chge_avg_wkly_wage
1,238572054,97010816,4319,1.19,0.452,1.024
2,1439657260,749596298,4103,0.856,0.624,1.094
3,160195240,80797450,4011,1.216,0.626,1.052
4,110388552,48400892,4670,1.264,0.68,1.036
5,152730444,72113324,3616,1.124,0.796,1.034
6,55307524,29787564,4033,1.4,0.402,1.096
7,121290058,66895052,3649,0.828,0.474,1.048
8,920071262,368232964,4493,2.158,0.494,1.106
9,165330130,79057962,3811,1.028,0.57,1.012
10,87242788,45283196,3580,1.18,0.74,1.08
11,184675392,92598130,3819,1.004,0.996,1.008
12,91754162,39154020,4002,0.682,0.606,0.778
13,171935206,78760352,4222,1.07,0.936,1.002
14,80969036,44395710,3649,0.998,0.808,1.002
15,43223722,18730158,3850,1.43,1.92,0.948
16,290891866,163411444,4055,1.132,0.8,1.15
17,545931334,249033228,5466,1.348,0.612,1.182
18,63304714,32640586,3707,1.18,0.506,1.018
19,25392974,12647402,3367,1.068,0.598,0.95
20,222105330,114998816,3936,1.018,0.472,1.076
21,67281094,38511692,3623,0.92,0.624,1.008
22,571612210,294585332,4008,0.9,0.576,1.036
23,467866134,161919204,4818,2.206,0.556,0.894
24,251204498,117491614,4202,1.152,0.53,1.018
25,423412576,239114658,3893,0.92,0.918,1.042
26,359535538,176942948,3908,1.284,1.704,1.098
27,265709116,128021392,4155,1.32,4.314,1.026
28,737500826,349557210,4449,0.904,0.71,1.052
29,68796472,32664562,3394,1.34,0.596,1.006
30,204684012,118011630,3916,1.04,0.732,1.08
31,83643764,48652298,3407,1.206,3.06,1.048
32,31572568,14867122,3256,1.296,2.346,1.012
33,49732700,21229244,3714,1.328,2.468,1.01
34,73084656,36390652,3821,0.954,0.904,0.948
35,1070488578,476962136,4556,0.966,0.638,1.064
36,283588274,152085950,4197,1.034,0.932,1.132
37,10754264970,3726061908,5854,1.192,0.452,0.978
38,71947630,37167326,3796,0.864,0.498,0.922
39,544575666,266951968,4265,1.182,0.49,1.172
40,92517544,40952432,4188,1.352,0.644,1.128
41,1240457030,491584332,4855,1.998,0.478,1.196
42,614306288,234628922,6329,2.436,0.438,1.222
43,52289634,22479624,4369,1.024,0.652,0.93
44,103500548,24681536,4518,4.476,1.516,1.046
45,6874927968,2125020718,6637,1.794,0.484,1.014
46,158528966,72019036,4023,0.942,0.692,0.944
47,184907212,100515770,3670,1.034,0.65,1.046
48,733090856,409846680,4165,0.952,0.808,1.096
49,4187830538,1746516330,5255,1.054,0.51,1.082
50,144715808,65939586,4173,0.918,0.892,0.932
51,3095496696,1125828432,5020,2.182,0.554,1.07
52,1213052256,562093912,4643,0.792,0.542,0.982
53,32522798,14067288,3348,1.142,0.532,1.048
54,74037986,31608652,4185,2.122,1.426,1.06
55,266497058,134317456,2565,0.444,0.402,0.59
56,82337392,42082676,3580,1.19,0.666,1.07
57,276267498,132135610,4102,1.06,0.452,1.066
58,400401310,201846440,4229,0.9,0.478,1.06
59,2511252414,1009847132,5093,0.664,0.51,0.874
60,57007418,23688860,3983,2.326,1.846,1.046
61,681675108,332841588,4487,1.034,0.478,1.004
62,229355970,126061382,3862,1,0.546,1.11
63,2337230668,925607770,5124,1.622,0.492,1.09
64,354706374,179070288,4054,0.992,0.81,1.042
65,121478234,42378938,4760,0.764,0.642,0.732
66,63838828,26359556,4262,1.144,0.53,0.934
67,160365890,96027282,3884,0.812,0.542,1.02
68,2183075811,835756274,4507,0.536,0.402,0.56
69,75124614,69852412,5120,0.64,1.158,0.89
70,132226706,125660768,6129,0.702,1.888,1.012
71,4142325808,2759909404,3883,1.012,0.402,0.602
72,169073682,110412026,5179,1.548,2.21,1.102
73,13642394,8842258,5919,1.948,1.05,1.11
74,98952098,68475530,6199,1.288,1.816,0.928
75,22106416,14254226,5187,1.934,1.624,0.998
76,29935120,19873314,6547,2.244,0.612,0.952
77,48423210,34448918,5122,1.48,1.56,1.084
78,954084648,542593036,5478,2.244,0.508,1.044
79,12480234,7571926,4844,1.604,3.9,1.334
80,11020224,5157244,4153,3.284,7.894,1.152
81,444386736,213815224,6056,2.772,1.104,1.124
82,474706334,276759810,5605,1.5,1.258,1.102
83,153687638,82041936,5467,1.862,1.632,1.13
84,131917670,82977478,4962,1.656,2.734,1.078
85,32853150,16722992,3765,1.974,6.316,1.2
86,8503294,5302637,2315,0.74,0.31,0.668
87,551942528,397546060,5084,1.334,0.722,1.142
88,101374088,68760304,5672,1.634,3.198,1.086
89,781866954,630346130,8271,0.61,1.684,0.744
90,108423418,84847536,6759,1.066,1.734,0.916
91,23644138,10631532,4724,2.444,0.778,1.182
92,40217970,24866564,4595,2.03,7.404,1.19
93,83223028,38663218,5218,1.686,1.318,1.154
94,7435804,5317881,2904,1.74,0.336,0.634
95,84026818,54887948,6325,2.174,0.886,0.898
96,13937310,4896170,4421,1.782,1.794,1.204
97,5688419,4336970,3368,1.458,0.362,0.64
98,39530616,16798030,4431,2.214,7.166,1.178
99,52876850,41303392,5371,1.7575,0.5025,0.89
100,406524646,90658016,4592,2.892,3.368,1.036
101,861320868,278183814,5090,2.66,0.682,1.046
102,1363371942,479476348,5005,1.836,1.38,1.15
103,322162384,125294388,4688,1.424,4.084,1.066
104,221271400,73218520,4842,1.634,0.556,1.08
105,202243418,65344204,5612,0.564,0.572,0.744
106,117553548,56911506,4289,1.98,5.878,1.138
107,63310401192,22125616482,6049,0.802,0.474,1.026
108,1052926388,497198296,4518,0.932,1.288,1.132
109,520921086,177842906,4516,2.124,2.43,1.158
110,9820582444,3418140662,5640,1.438,0.784,1.106
111,1455446390,530536734,5301,1.622,1.268,1.194
112,330210310,122703698,5146,2.834,1.46,1.096
113,1362189990,604766178,4775,1.148,1.25,1.166
114,1576239618,717380550,4700,1.536,1.056,1.156
115,1737580610,505175448,7518,0.614,0.414,0.74
116,202867978,108744284,3938,0.844,0.73,1.01
117,128863962,57431716,4028,0.85,1.664,0.944
118,269675756,122081630,3860,0.846,1.264,1.084
119,4951653276,1581238900,5694,0.564,0.47,0.746
120,271469080,119863802,4011,1.186,0.96,1.058
121,67876820,30634806,3406,1.246,0.828,0.972
122,101662604,41123215,3293,0.44,0.398,0.514
123,169411540,98901770,3677,0.822,1.054,1.172
124,47401006,21847166,3560,1.61,1.454,1.088
125,168989270,64074784,3794,1.454,0.53,1.036
126,46246526,24972858,3398,1.318,3.424,1.13
127,105229684,56555532,3732,0.994,1.416,1.126
128,17713034,8567476,3547,1.31,1.856,1.08
129,165569314,67285852,4012,1.224,0.448,0.99
130,131967670,54504926,3889,1.14,1.048,0.996
131,1093438734,435822068,4435,1.048,0.7,1.08
132,367346824,205326716,4011,0.764,1.008,1.098
133,305517672,153794442,3939,0.924,0.776,1.06
134,80050550,36902500,3588,1.37,1.698,1.096
135,45353428,25306938,3386,0.784,0.864,0.994
136,87516718,39363848,3473,1,1.582,0.946
137,115165956,50858316,3861,1.59,1.402,1.102
138,863973386,346612332,4339,1.166,0.746,1.064
139,90396992,40489690,4000,1.328,1.838,1.06
140,32992098,15214840,3339,1.312,1.542,1.098
141,721406730,338028274,4340,0.946,0.798,1.152
142,86004010,38325150,3825,0.914,0.816,0.958
143,289330640,139832504,4027,0.902,0.458,1.076
144,147389616,66825560,3952,1.282,0.41,1.03
145,159484042,72470766,3765,1.306,0.998,1.022
146,114141636,58977008,3666,0.83,0.466,1.058
147,323678356,136789832,3974,0.864,0.934,1.014
148,47711394,22744058,3292,1.934,2.334,1.026
149,99284846,40810798,3567,1.562,1.748,0.946
150,581805358,199069554,4543,2.012,0.82,1.052
151,138100124,64688764,3794,0.938,0.822,1.184
152,17320308,9263666,3386,1.43,2.746,1.104
153,64427176,32622656,3436,1.238,3.522,1.066
154,24381515,11737864,2101,0.556,0.394,0.582
155,49575828,17203262,3560,2.952,1.666,0.994
156,102431764,30503822,4716,0.834,1.186,0.79
157,87853840,42288456,3504,1.446,1.344,1.058
158,242817638,119597674,3850,1.028,1.506,1.108
159,61989606,32793222,3678,0.976,1.436,1.048
160,61262894,34858970,3485,0.856,0.616,1.064
161,267318252,130808944,4449,0.984,0.85,1.106
162,462567128,185050330,4328,0.776,0.99,0.852
163,31373506,16196350,3381,1.178,1.712,1.088
164,16922616,7612400,3328,2.006,2.77,1.188
165,54849408,25409464,3674,0.814,1.624,0.854
166,9205378,2540327,2277,0.97,0.2,0.68
167,117280184,47052376,3695,1.472,1.666,1.062
168,19243810,8569184,3453,1.43,2.472,1.044
169,87665116,43014560,3539,1.306,1.528,1.078
170,42811822,21163864,3425,1.228,0.606,1.048
171,103287160,44876800,3929,1.018,0.848,0.976
172,97169170,46553456,3509,1.184,1.036,1.056
173,526389588,228493742,4224,1.092,0.58,1.022
174,24577208,11872652,3496,1.306,2.216,1.084
175,6665565614,2096653542,5519,1.704,0.488,1.046
176,96933618,52228422,3350,1.058,1.118,1.034
177,135492932,57799764,4297,2.446,1.748,1.124
178,461607022,225756662,3927,0.974,1.08,1.09
179,47770516,25072660,3578,1.18,1.368,1.176
180,20795722,10102082,3237,1.504,2.27,1.16
181,1442559998,570855030,4752,0.922,0.498,1.056
182,80882654,43358606,3612,1.19,1.764,1.068
183,54115132,23790102,3238,1.116,2.37,1.058
184,37631576,16804824,3284,1.33,1.962,1.11
185,486593660,172632718,4923,0.768,0.484,0.864
186,60023368,23997240,3551,0.95,2.376,1.014
187,2591102416,1012087032,5205,1.318,0.514,1.128
188,455087952,182216638,3823,0.86,1.068,1.032
189,32109122,13009058,3714,1.202,3.418,1.04
190,104685796,56431454,3683,1.1,0.786,1.158
191,606721400,216573537,2593,0.228,0.2,0.37
192,33423108392,8287603464,8407,0.956,0.504,1.028
193,17349744,10246349,2062,0.374,0.382,0.496
194,292154202,83076312,4836,2.326,2.904,1.066
195,1802733594,621258230,4951,1.224,1.042,1.132
196,202873456,76367466,4762,1.508,0.75,1.214
197,186080914,82252302,4948,1.122,2.298,1.158
198,14025387280,3832702074,7139,0.794,0.5,0.974
199,171340592,46590234,4351,2.534,3.462,1.064
200,1531134882,519378386,5722,0.982,1.322,1.1
201,8990243618,3344351848,5191,1.308,0.682,1.168
202,207873528,84367134,5381,1.214,0.696,1.252
203,1073369112,393275082,4939,1.59,1.888,1.184
204,1385758974,480918932,5447,2.034,0.872,1.286
205,179500628,58262058,5124,2.03,3.564,1.114
206,8129423422,2823224940,5832,1.488,0.522,1.174
207,1119590154,365713444,4895,2.03,1.772,1.084
208,343430578,128796046,4675,1.164,2.772,1.16
209,224112600,33538572,4722,4.656,2.69,0.994
210,1.57E+11,45519741092,7365,0.904,0.44,1.092
211,1185779406,439222634,4930,1.304,1.482,1.11
212,4670994458,1151847190,7236,0.788,0.456,0.924
213,111561742,37178292,4788,2.652,0.486,1.212
214,679152296,260859832,4912,1.12,1.434,1.19
215,1762245460,681953944,5607,1.346,0.586,1.282
216,47198184,15089164,4660,2.284,2.038,1.228
217,159759366,68299664,5076,1.394,0.656,1.334
218,4499589914,1593482462,6037,1.474,0.564,1.214
219,2239112282,781834758,6218,1.052,0.428,1.104
220,758337628,283207830,4866,1.122,0.808,1.088
221,57059042628,17910369006,7259,0.782,0.45,1.082
222,5226328366,1679919226,6108,0.76,0.972,1.056
223,133069072,41802940,4981,1.768,1.936,1.15
224,18813495702,7085518754,6042,1.158,0.724,1.278
225,22609452040,5460425644,7262,2.128,0.558,1.134
226,395151064,154434134,5190,1.072,0.402,1.116
227,19830035232,7137174674,5803,1.126,0.588,1.19
228,50970518102,14133761854,7120,1.166,0.538,1.064
229,54894178242,8705083016,11911,0.892,0.442,0.854
230,6360580110,2340241112,5391,1.112,0.604,1.134
231,2998944194,1043877430,5510,1.38,0.45,1.13
232,31705753016,5113058962,10658,0.556,0.442,0.726
233,5750915560,1871410338,6286,1.188,0.532,1.164
234,84809640150,13339868818,10784,0.582,0.42,0.736
235,2909985074,913750236,6511,1.236,0.598,1.168
236,1520224252,574017236,5313,1.242,0.874,1.186
237,8586840,3311250,2810,3.175,12.2625,1.06
238,275233976,102344794,4821,1.776,1.872,1.2
239,4738346962,1239104796,6564,1.158,0.46,1.016
240,6210664252,2120453446,6116,0.836,0.754,1.066
241,4851790988,1780788114,5610,0.916,0.506,1.14
242,667853644,274515952,5112,0.912,0.558,1.224
243,407066128,156444446,5064,1.174,1.342,1.204
244,52795656,16803306,4875,2.018,1.198,1.236
245,3458237974,1435940090,4778,1.112,0.65,1.158
246,400128748,135630240,5070,1.726,3.762,1.118
247,10278450780,3236307582,6645,0.998,0.474,1.092
248,3233775786,841581494,6323,2.622,1.228,1.062
249,528387776,119498868,6011,2.24,3.326,1.138
250,21103633926,5356830246,6107,0.484,0.402,0.532
251,6621731778,3245684236,6812,1.702,1.052,1.176
252,164762562,90998322,4229,1.568,2.35,1.056
253,12972994276,5841719162,6753,0.714,0.552,0.88
254,77794716,61979166,4609,1.234,5.252,1.272
255,18719646,14694008,3868,2.036,10.894,1.174
256,20179472,17250962,4081,1.69,7.872,1.176
257,6677208242,2918265046,4903,0.522,0.4,0.618
258,2284578222,856577663,5474,0.444,0.402,0.482
259,156491222,93465618,4714,1.568,2.722,1.222
260,12758276,8366713,2429,0.492,0.368,0.552
261,84716464,50769382,5328,0.974,1.274,1.104
262,19845113,14384696,2198,0.68,0.342,0.63
263,15627286,13238962,3249,1.308,6.888,0.998
264,17861030,11654351,2331,0.388,0.378,0.536
265,13261132,9097630,4078,1.41,4.864,1.268
266,157708046,102690270,4598,1.534,5.122,1.23
267,22401614264,9305858396,7462,0.894,0.658,0.906
268,6548144,5464859,1933,0.496,0.316,0.568
269,4756680010,2282652668,6203,0.614,1.006,0.868
270,903740544,620379850,5623,0.702,2.318,1.162
271,82501468,61775086,4370,0.984,5.414,1.018
272,7684256010,3846368940,5684,1.4,0.878,1.07
273,286981774,114643818,4838,3.106,2.87,1.118
274,655531130,358736392,5431,1.028,1.908,1.066
275,115846636,90949832,5406,0.74,2.936,1.084
276,153548436,114992850,4752,1.074,2.864,1.302
277,174967202,115814244,4471,1.476,3.128,1.16
278,2038895,1578877,2227,0.642,0.2,0.688
279,33931384,18989312,4395,1.246,7.112,1.146
280,9778186,7397792,3913,1.514,4.404,1.076
281,7842525902,3788144222,6455,1.09,0.638,1.002
282,7014183,4151858,2196,0.644,0.338,0.612
283,54526098,38519098,3939,1.118,2.814,1.064
284,54143368,31879880,5113,1.264,3.514,1.2
285,622263564,358181868,4967,1.154,3.648,1.036
286,4613339014,2218059056,6006,1.494,0.73,1.078
287,94195160,63259088,4201,1.626,4.072,1.1
288,46464670,22498198,4191,2.5,4.79,1.024
289,165295958,83853918,4406,1.904,2.394,1.058
290,1442806468,752270646,5062,1.198,0.814,1.108
291,10970334,9105470,3522,0.892,3.488,1.106
292,114680960,66012374,5014,1.192,0.444,1
293,165103984,106806704,4350,1.438,4.772,1.172
294,317934588,185134458,5208,1.294,1.184,1.262
295,285919794,186210440,4962,0.93,0.962,1.102
296,111307952,71580006,3900,1.476,2.544,1.066
297,35069936,28069910,4392,1.114,4.798,1.174
298,50764640,35984182,4765,1.424,5.826,1.172
299,32759864,23872630,4068,1.4,5.87,1.058
300,469843865,322921664,3490,0.44,0.382,0.614
301,82120446,59423266,4066,1.482,4.58,1.15
302,1436941258,732851142,4935,1.336,0.846,1.098
303,73022278,42370210,5196,1.51,5.154,1.004
304,78854662,47937084,4371,1.408,2.872,1.104
305,380575846,245257368,4929,1.13,1.52,1.106
306,25305700,21710352,3978,1.482,6.816,1.23
307,3432723,3132138,1866,0.496,0.336,0.642
308,134515266,111790120,4872,0.794,3.476,1.166
309,14585168,9213592,3786,1.514,4.268,1.066
310,520858030,368803950,5028,0.768,1.39,1.252
311,158152144,104954110,4544,1.046,3.072,1.062
