id,total_employed,%chg_total_emp
1,66384,1.136
2,452026,0.78
3,49570,1.164
4,29156,1.237333333
5,51336,1.042666667
6,17762,1.252666667
7,40826,0.787333333
8,267060,1.87
9,51340,0.946
10,30778,1.045333333
11,56964,0.96
12,20830,0.815333333
13,48214,1.063333333
14,26278,0.970666667
15,12514,1.508
16,97620,0.982666667
17,143294,1.092666667
18,20246,1.108666667
19,8402,1.108666667
20,71622,0.953333333
21,21906,0.898
22,173968,0.868666667
23,102954,2.396666667
24,72034,1.128666667
25,133390,0.874
26,118456,1.123333333
27,76540,1.194666667
28,207530,0.872
29,23876,1.297333333
30,66376,0.954
31,30264,1.108
32,11414,1.206666667
33,15930,1.302666667
34,21144,0.981333333
35,292584,0.883333333
36,91204,0.924666667
37,2111672,1.229333333
38,20410,0.906666667
39,176608,1.000666667
40,29914,1.2
41,358918,1.453333333
42,146750,1.683333333
43,13040,1.092666667
44,28406,3.835333333
45,1253152,1.605333333
46,43480,0.970666667
47,61580,0.96
48,228952,0.849333333
49,1027358,0.972
50,38000,0.978666667
51,778686,1.985333333
52,301886,0.786
53,11926,1.063333333
54,22360,1.830666667
55,77666,0.450666667
56,28768,1.082666667
57,84538,0.982666667
58,117482,0.837333333
59,505222,0.718666667
60,17484,1.938
61,181708,1.057333333
62,77850,0.904666667
63,585428,1.406666667
64,107658,0.950666667
65,21666,1.036
66,16538,1.256
67,49468,0.803333333
68,336654,0.566
69,15444,0.697333333
70,25614,0.699333333
71,808506,0.992666667
72,42234,1.470666667
73,3030,1.757333333
74,17380,1.394666667
75,5096,1.902
76,5142,2.662
77,12170,1.440666667
78,214104,2.103333333
79,4154,1.218666667
80,3676,2.633333333
81,97892,2.394666667
82,110122,1.324666667
83,37514,1.584
84,33560,1.530666667
85,12156,1.774
86,2895,0.668666667
87,147322,1.165333333
88,22858,1.542
89,81724,0.724666667
90,17122,1.260666667
91,7020,1.833333333
92,12390,1.725333333
93,21660,1.441333333
94,2157,1.368
95,14228,2.384666667
96,4538,1.455333333
97,1346,1.254
98,12364,2.071333333
99,8634,2.130833333
100,107490,2.751333333
101,212392,2.226
102,367770,1.53
103,86082,1.338
104,58488,1.481333333
105,31360,0.685333333
106,37040,1.636666667
107,12619690,0.784
108,311848,0.838666667
109,158092,1.793333333
110,2287862,1.263333333
111,391948,1.333333333
112,85060,1.989333333
113,394680,0.972666667
114,462528,1.262666667
115,202902,0.704
116,61756,0.828
117,35580,0.906
118,90288,0.798
119,757674,0.651333333
120,85056,1.133333333
121,22754,1.288
122,19033,0.45
123,64042,0.746666667
124,17126,1.455333333
125,54338,1.410666667
126,18020,1.158666667
127,37578,0.905333333
128,6350,1.232
129,47952,1.197333333
130,39666,1.145333333
131,315352,0.974
132,118990,0.718
133,97318,0.876666667
134,28798,1.241333333
135,15676,0.811333333
136,27912,1.039333333
137,38586,1.357333333
138,249032,1.093333333
139,28458,1.236
140,12830,1.225333333
141,226754,0.838
142,25084,0.91
143,91396,0.845333333
144,45472,1.266666667
145,50982,1.31
146,38886,0.789333333
147,98048,0.872666667
148,17368,1.733333333
149,30852,1.603333333
150,161338,1.856666667
151,51174,0.828666667
152,6642,1.292666667
153,23490,1.152
154,8544,0.572666667
155,16148,2.544
156,20102,1.076666667
157,31592,1.394666667
158,82518,0.939333333
159,20726,0.936
160,22022,0.826666667
161,78724,0.896666667
162,106290,0.878
163,11850,1.094
164,7220,1.622666667
165,14898,0.936666667
166,3363,0.850666667
167,40236,1.418666667
168,6804,1.346
169,31546,1.191333333
170,15576,1.171333333
171,30214,1.042
172,34862,1.136666667
173,150530,1.078
174,8990,1.206
175,1493000,1.551333333
176,35464,1.028666667
177,42814,1.854
178,150550,0.884
179,18652,1.032
180,8848,1.289333333
181,380580,0.878
182,28526,1.128666667
183,20826,1.080666667
184,14886,1.175333333
185,101606,0.891333333
186,20136,0.954
187,666640,1.130666667
188,144648,0.829333333
189,10620,1.175333333
190,39002,0.956
191,111442,0.233333333
192,4761680,0.914666667
193,5295,0.399333333
194,74884,1.870666667
195,480924,1.030666667
196,59694,1.152666667
197,50378,0.969333333
198,2222976,0.782
199,48952,2.118666667
200,341926,0.882
201,2361962,1.115333333
202,56564,1.024
203,302782,1.268666667
204,387440,1.447333333
205,45408,1.684
206,1938106,1.229333333
207,287778,1.76
208,99142,0.988666667
209,55550,4.413333333
210,27139780,0.826666667
211,310488,1.094666667
212,689212,0.796
