id,area_code,establishments,total_employed,total_wages,taxable_wage
1,1001,1778,66384,238572054,97010816
2,1003,13072,452026,1439657260,749596298
3,1005,1128,49570,160195240,80797450
4,1007,730,29156,110388552,48400892
5,1009,1568,51336,152730444,72113324
6,1011,360,17762,55307524,29787564
7,1013,962,40826,121290058,66895052
8,1015,5042,267060,920071262,368232964
9,1017,1246,51340,165330130,79057962
10,1019,830,30778,87242788,45283196
11,1021,1650,56964,184675392,92598130
12,1023,650,20830,91754162,39154020
13,1025,1318,48214,171935206,78760352
14,1027,436,26278,80969036,44395710
15,1029,460,12514,43223722,18730158
16,1031,2106,97620,290891866,163411444
17,1033,2704,143294,545931334,249033228
18,1035,504,20246,63304714,32640586
19,1037,272,8402,25392974,12647402
20,1039,1812,71622,222105330,114998816
21,1041,540,21906,67281094,38511692
22,1043,3692,173968,571612210,294585332
23,1045,1754,102954,467866134,161919204
24,1047,1702,72034,251204498,117491614
25,1049,2444,133390,423412576,239114658
26,1051,2830,118456,359535538,176942948
27,1053,1644,76540,265709116,128021392
28,1055,4148,207530,737500826,349557210
29,1057,684,23876,68796472,32664562
30,1059,1188,66376,204684012,118011630
31,1061,1006,30264,83643764,48652298
32,1063,322,11414,31572568,14867122
33,1065,576,15930,49732700,21229244
34,1067,698,21144,73084656,36390652
35,1069,6028,292584,1070488578,476962136
36,1071,2010,91204,283588274,152085950
37,1073,38238,2111672,10754264970,3726061908
38,1075,548,20410,71947630,37167326
39,1077,4218,176608,544575666,266951968
40,1079,952,29914,92517544,40952432
41,1081,6642,358918,1240457030,491584332
42,1083,2970,146750,614306288,234628922
43,1085,350,13040,52289634,22479624
44,1087,492,28406,103500548,24681536
45,1089,19992,1253152,6874927968,2125020718
46,1091,1020,43480,158528966,72019036
47,1093,1234,61580,184907212,100515770
48,1095,4194,228952,733090856,409846680
49,1097,20578,1027358,4187830538,1746516330
50,1099,902,38000,144715808,65939586
51,1101,12794,778686,3095496696,1125828432
52,1103,5634,301886,1213052256,562093912
53,1105,314,11926,32522798,14067288
54,1107,666,22360,74037986,31608652
55,1109,1444,77666,266497058,134317456
56,1111,810,28768,82337392,42082676
57,1113,1878,84538,276267498,132135610
58,1115,3098,117482,400401310,201846440
